Parameter      | Pump        | Autotune    | Days Missing
---------------------------------------------------------
ISF [mg/dL/U]  | 45.000      | 51.018      |
Carb Ratio[g/U]| 16.000      | 13.960      |
Basals [U/hr]  | -           |             |
  00:00        | 0.360       | 0.432       | 2
  00:30        |             |             |
  01:00        | 0.360       | 0.432       | 1
  01:30        |             |             |
  02:00        | 0.360       | 0.432       | 0
  02:30        |             |             |
  03:00        | 0.360       | 0.432       | 2
  03:30        |             |             |
  04:00        | 0.360       | 0.432       | 3
  04:30        |             |             |
  05:00        | 0.360       | 0.432       | 4
  05:30        |             |             |
  06:00        | 0.360       | 0.432       | 3
  06:30        |             |             |
  07:00        | 0.380       | 0.451       | 2
  07:30        |             |             |
  08:00        | 0.380       | 0.451       | 3
  08:30        |             |             |
  09:00        | 0.380       | 0.451       | 3
  09:30        |             |             |
  10:00        | 0.380       | 0.451       | 2
  10:30        |             |             |
  11:00        | 0.380       | 0.431       | 1
  11:30        |             |             |
  12:00        | 0.320       | 0.324       | 1
  12:30        |             |             |
  13:00        | 0.290       | 0.264       | 1
  13:30        |             |             |
  14:00        | 0.280       | 0.259       | 1
  14:30        |             |             |
  15:00        | 0.340       | 0.329       | 1
  15:30        |             |             |
  16:00        | 0.360       | 0.391       | 2
  16:30        |             |             |
  17:00        | 0.300       | 0.304       | 2
  17:30        |             |             |
  18:00        | 0.320       | 0.320       | 3
  18:30        |             |             |
  19:00        | 0.320       | 0.307       | 4
  19:30        |             |             |
  20:00        | 0.380       | 0.361       | 5
  20:30        |             |             |
  21:00        | 0.350       | 0.401       | 5
  21:30        |             |             |
  22:00        | 0.330       | 0.396       | 3
  22:30        |             |             |
  23:00        | 0.330       | 0.396       | 3
  23:30        |             |             |
